GATE_HI_SH: -2636.874><619.2256><-1667.633><830.1851><1><0
GATE_SH_FB: -156.0403><-410.8998><-156.2354><-477.1187><2><0
GATE_SH_SL: 2358.387><288.7341><1684.19><85.76362><1><0
GATE_SH_UW: 3912.199><30.09674><2433.361><-300.1155><0><0
FB_GS01: -2.960406><-427.3026><-45.39463><-481.5789><2><0
SH_A04: 1011.546><6.244884><773.5547><-97.83312><1><1
SH_A05: -1108.458><272.2442><-331.4447><437.167><0><1
SH_A06: -79.45418><67.24474><-143.4445><157.1669><1><1
SH_A07: 493.5464><-50.7556><334.5547><-120.8332><1><1
SH_A08: 984.5466><10.24478><930.5547><-229.8329><2><1
SH_A09: 838.5463><11.24478><769.5547><-266.8329><2><1
SH_A10: 532.5457><578.2442><338.5536><502.1672><1><1
SH_A11: -1616.458><323.2442><-935.4442><523.1674><1><1
SH_A12: -1469.458><336.2443><-783.4448><565.1671><1><1
SH_A13: -1638.458><430.2446><-930.4442><755.1671><1><1
SH_A14: -1467.458><433.2446><-738.4445><769.1671><1><1
SH_A15: -1504.458><220.2442><-784.4448><426.1673><1><1
SH_A16: -376.4543><-134.7558><-269.4447><-25.8334><2><1
SH_A17: -518.4537><-229.7556><-487.4443><-68.83312><2><1
SH_A19: 470.5457><-161.7558><313.5547><-253.8333><1><1
SH_A21: -70.45387><272.2442><224.5553><587.1671><0><1
SH_A22: 287.546><-238.7553><141.5553><-261.8329><2><1
SH_A23: 796.5463><-89.75578><609.5547><-239.8329><1><1
SH_A24: -342.4543><-245.7553><-401.4447><-210.8329><1><1
SH_A25: -1768.458><329.2442><-1053.447><547.1671><1><1
SH_A26: 1199.763><2.140384><901.9037><-95.06542><1><1
SH_B01: -779.4553><271.2442><-335.4447><587.1671><0><1
SH_B02: 156.5455><66.24479><-11.44448><160.1669><1><1
SH_B03: 381.5462><209.2442><212.5555><168.1669><1><1
SH_B04: 728.5458><4.244782><513.5546><-86.83299><1><1
SH_B05: 258.5456><-67.75568><48.5555><-114.8332><1><1
SH_B06: -648.4537><-290.7554><-816.4448><-139.8331><1><1
SH_B07: 796.5457><-235.7553><506.5547><-475.8334><1><1
SH_B08: -786.5952><368.8247><-215.4449><711.1671><1><1
SH_B09: -954.4572><237.2446><-465.4445><474.1671><2><1
SH_B10: 360.546><-509.7561><-86.44504><-626.8329><1><1
SH_B11: -444.4537><-357.7554><-522.4445><-301.8333><1><1
SH_B12: 505.5463><-347.7554><167.5555><-784.8329><0><0
SH_B13: 626.5922><-399.8277><215.9539><-541.7433><1><1
SH_B15: -1027.411><30.17248><-474.0458><213.2562><2><1
SH_B16: -1267.996><-18.80351><-698.6854><222.6552><2><1
SH_B17: -1271.937><-140.0423><-689.2374><102.9983><2><1
SH_C01: -388.4543><68.24461><-88.44504><445.167><1><1
SH_C02: -1137.458><432.2446><-585.4448><796.1671><1><1
SH_C03: -634.4537><98.24448><-361.4443><304.1666><2><1
SH_C04: 535.5457><324.2442><335.5547><188.1669><1><1
SH_C05: 855.5463><316.2442><468.5547><102.1666><1><1
SH_C07: -1550.458><-35.75542><-821.4445><108.1665><2><1
SH_C08: -72.45436><-177.7555><-286.4447><-158.8331><1><1
SH_C09: -756.407><-136.8277><-493.0458><83.25603><2><1
SH_C10: -381.4073><271.1719><-104.0464><583.2567><0><1
SH_C11: -2483.72><475.8634><-1550.261><650.9127><1><0
SH_C12: 481.2729><-181.189><249.7626><-227.1339><2><1
SH_C13: 2058.582><273.1582><1358.773><73.97308><1><0
SH_D01: -2107.457><375.2445><-1437.446><670.1671><1><1
SH_D02: -168.455><-509.7561><-522.4448><-629.8329><1><1
SH_D03: 3684.543><-39.7556><2190.555><-387.8334><0><2
SH_E01: 1727.542><-216.7554><883.5547><-657.8329><0><2
SH_E02: 50.5456><-467.7558><-392.4447><-827.8329><0><1
SH_E03: 960.5463><-215.7554><319.5547><-659.8329><0><2
SH_E04: 2507.384><-217.8436><1469.679><-651.3129><0><2
SH_E05: 1452.381><274.1557><828.6766><72.68677><1><1
SH_H01: 3217.384><-154.844><1734.676><-489.3128><0><2
SH_FB01: -383.8593><-212.1723><-392.8214><-344.6117><0><0
SH_FB02: -259.1337><-305.2093><-313.2609><-465.6589><2><0
SH_S01: -1661.458><-66.75568><-945.4442><189.1669><2><0
SH_S02: 661.5458><228.2443><461.5547><245.1672><1><0
SH_S03: -2567.833><511.1475><-1622.129><724.3256><1><0
SH_S04: -981.8677><271.9013><-205.7852><435.5057><0><0
SH_S05: 2272.811><178.6435><1636.329><-29.285><1><0
SH_S06: -335.9969><-328.2135><-606.3071><-442.3641><1><0
SH_S07: 544.0026><-295.2135><218.6929><-415.3641><1><0
SH_S08: -261.7849><-573.0911><-394.2711><-944.6592><0><0
SH_S09: 654.666><-424.9596><294.788><-791.9222><0><0
SH_S10: -319.2068><97.71658><-20.26803><304.458><2><0
OffScreenDen_SH: 24.5457><-696.7561><615.5547><-475.8331><1><1
Connection: GATE_HI_SH,SH_C11,45,9,3,99,0,2
Connection: GATE_HI_SH,SH_S03,36,5,13,23,3,1
Connection: GATE_SH_FB,SH_FB02,11,19,53,6,1,3
Connection: GATE_SH_FB,FB_GS01,44,10,8,15,0,2
Connection: GATE_SH_SL,SH_C13,2,11,146,16,2,0
Connection: GATE_SH_SL,SH_S05,11,5,35,17,3,0
Connection: GATE_SH_UW,SH_D03,2,11,99,56,2,0
Connection: SH_A04,SH_E05,48,31,10,7,0,3
Connection: SH_A04,SH_B04,5,31,101,31,2,0
Connection: SH_A04,SH_A26,49,10,4,10,0,2
Connection: SH_A05,SH_S04,49,26,15,26,0,2
Connection: SH_A05,SH_B01,11,4,14,4,3,3
Connection: SH_A06,SH_C01,9,5,127,5,2,0
Connection: SH_A06,SH_B02,38,7,4,7,3,2
Connection: SH_A07,SH_C04,38,29,25,10,1,3
Connection: SH_A07,SH_B04,46,15,16,2,0,3
Connection: SH_A07,SH_B05,2,15,100,21,2,0
Connection: SH_A07,SH_A19,15,1,23,31,3,1
Connection: SH_A08,SH_A09,4,7,44,8,2,0
Connection: SH_A09,SH_A23,26,3,40,32,3,1
Connection: SH_A10,SH_C04,16,3,13,119,3,1
Connection: SH_A11,SH_A13,4,30,8,3,2,3
Connection: SH_A11,SH_A12,37,23,5,19,3,3
Connection: SH_A11,SH_A25,4,16,46,14,2,0
Connection: SH_A11,SH_A15,45,2,7,31,3,1
Connection: SH_A12,SH_A14,18,24,17,8,3,3
Connection: SH_A12,SH_A15,42,5,43,16,3,1
Connection: SH_A13,SH_A14,46,16,1,15,0,2
Connection: SH_A14,SH_C02,46,18,6,19,0,2
Connection: SH_A15,SH_C07,7,2,25,117,3,1
Connection: SH_A16,SH_C09,2,27,144,28,2,0
Connection: SH_A16,SH_A17,2,6,45,26,2,0
Connection: SH_A17,SH_B06,2,26,32,68,2,0
Connection: SH_A21,SH_C10,3,27,148,27,2,0
Connection: SH_A21,SH_C01,3,20,152,21,2,0
Connection: SH_A22,SH_B05,8,32,45,3,1,3
Connection: SH_A22,SH_C12,23,32,10,19,1,3
Connection: SH_A23,SH_B04,10,26,64,2,1,3
Connection: SH_A23,SH_C12,10,5,144,31,3,1
Connection: SH_A23,SH_B07,40,5,40,66,3,1
Connection: SH_A24,SH_C08,43,20,6,3,1,3
Connection: SH_A24,SH_B11,6,20,40,71,3,1
